i_id,sbbh,yyzt,fx,gs,yyjssj,jd,cx,yykssj,wd,sd,cph,GPStime
1,64625128713,空车,95,北城,1598918400000,116.571748,悦动,1078099200000,35.409101,0.0,鲁HT**07,1654041600000
2,64625128812,空车,103,交运,1479168000000,116.560401,新桑塔纳,1479168000000,35.414201,0.0,鲁HT**21,1654041600000
3,64625128516,空车,52,富达,1593475200000,116.440358,新捷达,1071100800000,35.427673,0.0,鲁HT**55,1654041600000
4,64625128883,载客,256,众鑫,1479945600000,116.554695,新捷达,1479945600000,35.389376,0.0,鲁HT**90,1654041600000
5,64625128719,空车,57,北城,1602892800000,116.587075,新桑塔纳,1080777600000,35.391138,14.8,鲁HT**84,1654041600000
6,64625129154,载客,57,新交运,1480032000000,116.574068,新捷达,1480032000000,35.390418,0.0,鲁HT**80,1654041600000
7,64625129021,载客,14,新交运,1480032000000,116.591218,新捷达,1480032000000,35.414493,0.0,鲁HT**37,1654041600000
8,64625129129,空车,142,北城,1685577600000,116.568003,新捷达,1183939200000,35.428031,0.0,鲁HT**24,1654041601000
9,64625128334,载客,65,新交运,1479427200000,116.56822,新桑塔纳,1479427200000,35.382776,0.0,鲁HT**27,1654041601000
10,64626198288,载客,92,交运,1601769600000,116.618238,新捷达,1081123200000,35.41423,0.1,鲁HT**60,1654041601000
11,64625129220,空车,94,北城,1601510400000,116.592483,悦动,1080777600000,35.398861,0.0,鲁HT**68,1654041601000
12,64625128312,空车,96,联运,1628208000000,116.681668,伊兰特,1438905600000,35.40752,0.0,鲁HT**18,1654041601000
13,64625128116,空车,189,富达,1633996800000,116.598541,铃木启悦,1444694400000,35.383236,0.0,鲁HT**37,1654041601000
14,64625127883,载客,288,交运,1639353600000,116.611338,新捷达,1450051200000,35.439946,0.0,鲁HT**39,1654041601000
15,64625127898,空车,8,联运,1594512000000,116.581673,新捷达,1073952000000,35.43567,0.0,鲁HT**21,1654041601000
16,64625128982,空车,179,富达,1619481600000,116.623345,新悦动,1083110400000,35.41287,15.4,鲁HT**33,1654041601000
17,64625128358,空车,269,华通,1604188800000,116.601446,新桑塔纳,1083369600000,35.430686,41.5,鲁HT**32,1654041602000
18,64626877214,空车,153,交运,1633305600000,116.55823,悦动,1081123200000,35.378628,0.0,鲁HT**95,1654041602000
19,64625127891,空车,353,交运,1647907200000,116.591083,新桑塔纳,1458691200000,35.417548,44.0,鲁HT**38,1654041602000
20,64625127886,空车,63,交运,1590969600000,116.56384,老捷达,1070236800000,35.376858,0.0,鲁HT**79,1654041602000
21,64625128605,空车,24,众鑫,1479945600000,116.605531,新捷达,1479945600000,35.468486,0.0,鲁HT**95,1654041602000
22,64625127894,空车,111,富达,1593820800000,116.641676,新桑塔纳,1073260800000,35.427868,0.0,鲁HT**29,1654041602000
23,64625128897,载客,358,新交运,1480032000000,116.591665,新捷达,1480032000000,35.408785,22.9,鲁HT**99,1654041602000
24,64625129215,空车,206,北城,-2208988800000,116.578521,新捷达,1472083200000,35.400591,0.0,鲁HT**02,1654041602000
25,64625127953,空车,175,交运,1654992000000,116.60025,新捷达,1465776000000,35.40949,0.0,鲁HT**25,1654041602000
26,64625128565,空车,84,华通,1605139200000,116.602831,新捷达,1084406400000,35.407916,0.0,鲁HT**29,1654041602000
27,64625129308,空车,338,北城,1604793600000,116.38644,新桑塔纳,1084060800000,35.62267,0.0,鲁HT**58,1654041602000
28,64625128760,空车,12,北城,1601510400000,116.510148,新捷达,1080777600000,35.407795,0.0,鲁HT**58,1654041602000
29,64625128076,空车,77,众鑫,1479427200000,116.594995,比亚迪秦,1479427200000,35.4493,0.0,HDN**79,1654041603000
30,64625128923,空车,166,新交运,1479427200000,116.500638,新桑塔纳,1479427200000,35.46786,0.0,鲁HT**11,1654041603000
31,64625128100,空车,280,交运,1622505600000,116.57486,新桑塔纳,1117584000000,35.385668,0.0,鲁HT**16,1654041603000
32,64625127805,载客,178,交运,-2208988800000,116.58493,新捷达,1429574400000,35.39799,16.1,鲁HT**78,1654041603000
33,64625128843,空车,87,新交运,1480032000000,116.59839,比亚迪秦,1480032000000,35.410751,0.0,HDN**53,1654041603000
34,64625128919,空车,155,北城,-2208988800000,116.597461,新悦动,1472774400000,35.42479,0.0,鲁HT**60,1654041603000
35,64625128730,空车,349,交运,1477612800000,116.60744,悦动,1477612800000,35.523496,0.0,鲁HT**37,1654041603000
36,64625128771,空车,181,北城,1609459200000,116.565225,悦动,1072915200000,35.395905,0.0,鲁HT**18,1654041603000
37,64625128881,空车,3,新交运,1480032000000,116.597578,新捷达,1480032000000,35.379496,0.0,鲁HT**51,1654041603000
38,00013957036,空车,178,联运,-2208988800000,116.6025,新捷达,1473206400000,35.428798,39.6,鲁HT**49,1654041603000
39,64625127866,空车,348,交运,1577577600000,116.598773,伊兰特,978998400000,35.38314,0.0,鲁HT**68,1654041604000
40,64625128241,空车,83,联运,1648080000000,116.610826,新捷达,1458864000000,35.43582,0.0,鲁HT**71,1654041604000
41,64625129161,空车,90,新交运,1480032000000,116.549566,新捷达,1480032000000,35.420321,0.0,鲁HT**75,1654041604000
42,00029780612,空车,78,新交运,1479945600000,116.576296,新捷达,1479945600000,35.45743,0.0,鲁HT**83,1654041604000
43,64625129093,空车,215,联运,1621728000000,116.611653,新捷达,1085356800000,35.413793,0.0,鲁HT**31,1654041604000
44,64625127912,载客,310,富达,1478304000000,116.613798,吉利帝豪,1470614400000,35.396093,58.5,HDD**68,1654041604000
45,64625128175,空车,84,联运,1598400000000,116.684898,新悦动,1077840000000,35.407421,0.0,鲁HT**58,1654041604000
46,64625128540,载客,277,联运,1593561600000,116.533788,新桑塔纳,1072915200000,35.416666,59.3,鲁HT**89,1654041604000
47,64625129149,空车,48,北城,1602720000000,116.56667,新桑塔纳,1082073600000,35.38333,0.0,鲁HT**90,1654041605000
48,64606915724,空车,127,联运,1601510400000,116.565791,新捷达,1080777600000,35.386096,0.0,鲁HT**63,1654041605000
49,64625128653,空车,263,北城,1579996800000,116.6142,新捷达,980553600000,35.416555,0.0,鲁HT**17,1654041605000
50,64625129236,空车,45,华中,1598313600000,116.5904,老捷达,1082937600000,35.391475,15.5,鲁HT**66,1654041605000
51,64625128449,载客,125,联运,1574640000000,116.568331,悦动,1053907200000,35.405733,0.2,鲁HT**99,1654041605000
52,64625128407,空车,358,联运,1590969600000,116.566058,悦动,1086134400000,35.348055,0.0,鲁HT**33,1654041605000
53,64625128863,载客,109,新交运,1479513600000,116.587936,新桑塔纳,1479513600000,35.39228,0.0,鲁HT**97,1654041605000
54,64625129190,空车,10,华中,1607558400000,116.587046,悦动,1086912000000,35.39968,0.0,鲁HT**66,1654041605000
55,64625128665,空车,271,华通,1643068800000,116.603248,新桑塔纳,1453766400000,35.411603,0.0,鲁HT**89,1654041605000
56,64625128089,空车,103,众鑫,1479081600000,116.588393,比亚迪秦,1479081600000,35.365108,58.6,HDW**16,1654041606000
57,64625128001,空车,216,华通,1598918400000,116.529226,新桑塔纳,1078099200000,35.414313,49.6,鲁HT**15,1654041606000
58,64625128078,空车,270,华通,1608249600000,116.57107,新悦动,1055980800000,35.405756,32.6,鲁HT**99,1654041606000
59,64625128443,载客,360,华通,1478390400000,116.56892,新桑塔纳,1478390400000,35.433638,39.7,鲁HT**69,1654041606000
60,64625127796,空车,122,交运,1477008000000,116.578551,新捷达,1470009600000,35.429426,0.0,鲁HT**00,1654041606000
61,64625128743,空车,256,富达,1653177600000,116.562836,新捷达,1463961600000,35.38493,0.0,鲁HT**25,1654041606000
62,64625128242,空车,107,富达,-2208988800000,116.577088,伊兰特,1470268800000,35.397828,0.0,鲁HT**39,1654041606000
63,64625128038,载客,89,新交运,1480032000000,116.611888,新捷达,1480032000000,35.420916,52.3,鲁HT**82,1654041606000
64,64625128964,空车,169,新交运,1479859200000,116.582633,比亚迪秦,1479859200000,35.437655,0.0,HDS**16,1654041607000
65,64625128300,空车,84,华通,1598918400000,116.562903,新桑塔纳,1078099200000,35.418873,0.0,鲁HT**34,1654041607000
66,64625128545,空车,187,联运,1477872000000,116.57751,新捷达,1473292800000,35.439505,0.0,鲁HT**83,1654041607000
67,64625129085,空车,134,联运,1621468800000,116.546266,新捷达,1085097600000,35.441528,0.0,鲁HT**67,1654041607000
68,64625128139,载客,90,汇通,1655251200000,116.508808,新捷达,1466035200000,35.403273,60.0,鲁HT**80,1654041607000
69,64625129158,载客,151,新交运,1480032000000,116.652013,新捷达,1480032000000,35.424361,0.0,鲁HT**58,1654041607000
70,64625129254,空车,209,华中,-2208988800000,116.489335,伊兰特,1469577600000,35.371165,0.0,鲁HT**68,1654041607000
71,64625127838,空车,86,交运,1590796800000,116.563985,新捷达,1054252800000,35.386935,0.0,鲁HT**87,1654041607000
72,64625128496,空车,180,交运,1654992000000,116.596665,新捷达,1465776000000,35.458001,0.0,鲁HT**37,1654041607000
73,64625128761,空车,256,北城,1605052800000,116.605283,老捷达,1084320000000,35.415926,0.0,鲁HT**11,1654041608000
74,64625128138,空车,325,交运,1609459200000,116.563033,新捷达,1072915200000,35.384033,0.0,鲁HT**35,1654041608000
75,64625129127,空车,43,北城,1605830400000,116.548815,新捷达,1085097600000,35.441661,0.0,鲁HT**90,1654041608000
76,64625128824,空车,26,众鑫,1479168000000,116.536941,东风风神,1479168000000,35.463535,0.0,HDQ**36,1654041608000
77,64625128596,空车,106,华通,1609718400000,116.568283,新捷达,1073260800000,35.415386,0.0,鲁HT**71,1654041608000
78,64625127900,空车,320,富达,1655251200000,116.56201,新捷达,1466035200000,35.43459,0.0,鲁HT**95,1654041608000
79,64625128210,空车,82,联运,1649030400000,116.597796,伊兰特,1459814400000,35.37594,0.0,鲁HT**83,1654041608000
80,64625128740,空车,79,众鑫,1479081600000,116.600675,新捷达,1479081600000,35.410446,0.0,鲁HT**98,1654041608000
81,64626198298,空车,8,汇通,-2208988800000,116.610493,新桑塔纳,1473120000000,35.39805,53.9,鲁HT**87,1654041608000
82,64626877213,空车,277,汇通,1606780800000,116.560583,伊兰特,1086048000000,35.400988,0.0,鲁HT**59,1654041609000
83,00056961601,空车,294,新交运,1479427200000,116.596941,新桑塔纳,1479427200000,35.437675,0.0,鲁HT**36,1654041609000
84,64625128286,空车,107,华通,1655337600000,116.567808,新捷达,1466121600000,35.38246,0.0,鲁HT**37,1654041609000
85,64625128162,载客,271,联运,1597104000000,116.567106,悦动,1073865600000,35.405776,49.9,鲁HT**49,1654041609000
86,64626198294,载客,322,新交运,1480032000000,116.45445,新捷达,1480032000000,35.481051,90.0,鲁HT**56,1654041609000
87,64625129176,载客,48,北城,1601510400000,116.612231,新桑塔纳,1081641600000,35.404813,0.0,鲁HT**09,1654041609000
88,64625128584,空车,241,汇通,1598918400000,116.588215,新捷达,1078185600000,35.394958,0.0,鲁HT**78,1654041609000
89,64625128478,空车,12,华通,-2208988800000,116.559851,新捷达,1473292800000,35.416021,0.0,鲁HT**17,1654041609000
90,64625128687,空车,181,联运,1636675200000,116.568941,比亚迪秦,1447372800000,35.41955,38.3,HDN**58,1654041610000
91,64625127914,载客,306,联运,1625356800000,116.58757,新捷达,1088985600000,35.39774,16.9,鲁HT**99,1654041610000
92,64625128422,空车,107,联运,-2208988800000,116.56046,新捷达,1477353600000,35.400388,0.0,鲁HT**39,1654041610000
93,64657793020,空车,267,联运,1593561600000,116.50879,伊兰特,1072915200000,35.412696,0.0,鲁HT**03,1654041610000
94,64625128993,空车,82,新交运,1479859200000,116.565868,新桑塔纳,1479859200000,35.415678,0.0,鲁HT**36,1654041610000
95,64625129032,空车,181,新交运,1479945600000,116.559741,比亚迪秦,1479945600000,35.41823,36.9,HDD**31,1654041610000
96,64625128911,空车,99,联运,1585699200000,116.573298,老捷达,1064966400000,35.435663,0.0,鲁HT**56,1654041610000
97,64625128720,空车,42,汇通,1587859200000,116.556585,新捷达,1083024000000,35.500533,0.0,鲁HT**35,1654041611000
98,64625128960,空车,358,新交运,1479945600000,116.545458,新捷达,1479945600000,35.418493,0.0,鲁HT**20,1654041611000
99,64625128028,载客,266,交运,1628812800000,116.57604,奇瑞,1439510400000,35.40584,0.0,鲁HT**83,1654041611000
100,64625128646,载客,166,交运,1482451200000,116.575956,伊兰特,1482451200000,35.404778,41.9,鲁HT**60,1654041611000
